lat,lon,pi,zwd,n_stations
-65.000000,-150.000000,0.148544,14.560193,5.000000
-65.000000,-145.000000,0.150369,14.560193,5.000000
-65.000000,-140.000000,0.150432,14.560193,5.000000
-65.000000,-135.000000,0.145073,9.520569,5.000000
-65.000000,-130.000000,0.147792,14.650462,5.000000
-65.000000,-125.000000,0.147800,14.650462,5.000000
-65.000000,-120.000000,0.151238,21.025634,5.000000
-65.000000,-115.000000,0.151282,21.025634,5.000000
-65.000000,-110.000000,0.151290,21.025634,5.000000
-65.000000,-105.000000,0.149107,21.025634,5.000000
-65.000000,-100.000000,0.152995,28.321937,5.000000
-65.000000,-95.000000,0.152710,28.321937,5.000000
-65.000000,-90.000000,0.152728,28.321937,5.000000
-65.000000,-85.000000,0.154033,38.555937,5.000000
-65.000000,-80.000000,0.154050,38.555937,5.000000
-65.000000,-75.000000,0.154068,38.555937,5.000000
-65.000000,-70.000000,0.150182,30.565469,5.000000
-65.000000,-65.000000,0.150183,30.565469,5.000000
-65.000000,-60.000000,0.152842,30.565469,5.000000
-65.000000,-55.000000,0.153246,30.565469,5.000000
-65.000000,-50.000000,0.153265,30.565469,5.000000
-65.000000,-45.000000,0.154158,30.565469,5.000000
-65.000000,-40.000000,0.154178,30.565469,5.000000
-65.000000,-35.000000,0.151926,21.841071,5.000000
-65.000000,-30.000000,0.151941,21.841071,5.000000
-65.000000,-25.000000,0.152142,21.841071,5.000000
-65.000000,-20.000000,0.152157,21.841071,5.000000
-65.000000,-15.000000,0.148982,16.183327,5.000000
-65.000000,-10.000000,0.148973,16.183327,5.000000
-65.000000,-5.000000,0.151125,16.183327,5.000000
-65.000000,0.000000,0.145572,12.249075,5.000000
-65.000000,5.000000,0.145544,12.249075,5.000000
-65.000000,10.000000,0.145515,12.249075,5.000000
-65.000000,15.000000,0.144737,12.249075,5.000000
-65.000000,20.000000,0.144546,12.249075,5.000000
-65.000000,25.000000,0.144509,12.249075,5.000000
-65.000000,30.000000,0.145514,15.161841,5.000000
-65.000000,35.000000,0.145485,15.161841,5.000000
-65.000000,40.000000,0.144930,15.161841,5.000000
-65.000000,45.000000,0.144854,15.161841,5.000000
-65.000000,50.000000,0.146441,15.996685,5.000000
-65.000000,55.000000,0.145967,15.996685,5.000000
-65.000000,60.000000,0.146275,13.592760,5.000000
-65.000000,65.000000,0.146250,13.592760,5.000000
-65.000000,70.000000,0.146227,13.592760,5.000000
-65.000000,75.000000,0.146206,13.592760,5.000000
-65.000000,80.000000,0.146074,13.592760,5.000000
-65.000000,85.000000,0.146060,13.592760,5.000000
-65.000000,90.000000,0.145446,13.592760,5.000000
-65.000000,95.000000,0.145221,13.592760,5.000000
-65.000000,100.000000,0.145540,13.592760,5.000000
-65.000000,105.000000,0.145935,14.120610,5.000000
-65.000000,110.000000,0.145990,14.120610,5.000000
-65.000000,115.000000,0.145890,14.120610,5.000000
-65.000000,120.000000,0.146018,14.120610,5.000000
-65.000000,125.000000,0.144405,13.268179,5.000000
-65.000000,130.000000,0.144433,13.268179,5.000000
-65.000000,135.000000,0.148005,17.124296,5.000000
-65.000000,140.000000,0.148046,17.124296,5.000000
-65.000000,145.000000,0.146413,17.124296,5.000000
-65.000000,150.000000,0.147541,17.124296,5.000000
-65.000000,155.000000,0.147507,17.124296,5.000000
-65.000000,160.000000,0.151398,25.101658,5.000000
-65.000000,165.000000,0.151386,25.101658,5.000000
-65.000000,170.000000,0.151374,25.101658,5.000000
-65.000000,175.000000,0.151568,25.101658,5.000000
-60.000000,-180.000000,0.152844,36.915865,5.000000
-60.000000,-175.000000,0.152830,36.915865,5.000000
-60.000000,-170.000000,0.152817,36.915865,5.000000
